,codice,regionId
0,AKMeetsSpeedcubing2022,Lombardia
1,AOpeninRome2022,Lazio
2,AlmostRomeOpen2017,Lazio
3,ApuliaOpen2016,Puglia
4,BPCubeDay2014,Lombardia
5,BagnoloAlCubo2022,Emilia-Romagna
6,BeneventumOpen2012,Campania
7,BigCubingItaly2013,Lombardia
8,BigCubingItaly2014,Lombardia
9,BigCubingItaly2016,Lombardia
10,BigCubingItaly2018,Lombardia
11,BigCubingItalyOpen2011,Lombardia
12,BolognaBackfromHolidays2021,Emilia-Romagna
13,BolognaNewYear2022,Emilia-Romagna
14,BolognaNxNSpring2019,Emilia-Romagna
15,BolognaSummerOpen2021,Emilia-Romagna
16,BolognaWinterMadness2020,Emilia-Romagna
17,BugellaOpen2014,Piemonte
18,BugellaOpen2015,Piemonte
19,CalabrianOpen2019,Calabria
20,CapodriseOpen2016,Campania
21,CarpiGoesBig2022,Emilia-Romagna
22,Castelbelforte2011,Lombardia
23,CastenasoStrikesBack2022,Emilia-Romagna
24,CrevalcorealCubo2022,Emilia-Romagna
25,CubeNRoll2010,Lombardia
26,DesioRubiksAce2014,Lombardia
27,DuevilleOpen2015,Veneto
28,EretumMentalBreakdown2022,Lazio
29,EretumOpen2014,Lazio
30,EretumOpen2015,Lazio
31,EretumOpen2017,Lazio
32,EretumOpen2018,Lazio
33,EtnaOpen2016,Sicilia
34,EtnaOpen2018,Sicilia
35,EtnaOpen2019,Sicilia
36,FioranoOpen2017,Emilia-Romagna
37,FioranoOpen2018,Emilia-Romagna
38,FlorenceFantastic2013,Toscana
39,FlorenceOpen2010,Toscana
40,FlorenceOpen2013,Toscana
41,FlorenceRubiksCubeOpen2016,Toscana
42,GessateOpen2017,Lombardia
43,HalloweenOpen2010,Lombardia
44,ItalianChampionship2010,Lazio
45,ItalianChampionship2011,Lombardia
46,ItalianChampionship2012,Lazio
47,ItalianChampionship2013,Lombardia
48,ItalianChampionship2014,Lazio
49,ItalianChampionship2015,Puglia
50,ItalianChampionship2016,Lombardia
51,ItalianChampionship2017,Lombardia
52,ItalianChampionship2018,Lazio
53,ItalianChampionship2019,Veneto
54,ItalianChampionship2021,Lazio
55,ItalianChampionship2022,Calabria
56,ItalianOpen2007,Lazio
57,ItalianOpen2008,Lombardia
58,ItalianOpen2009,Lombardia
59,ItalianOpen2011,Toscana
60,ItalianOpen2012,Lombardia
61,ItalianOpen2013,Lazio
62,ItalianOpen2015,Lombardia
63,ItalianOpen2017,Lazio
64,ItalianOpen2018,Lombardia
65,LOLSouthItalianOpen2010,Puglia
66,LegnanoOpen2012,Lombardia
67,LegnanoOpen2013,Lombardia
68,LegnanoOpen2014,Lombardia
69,MantovaOpen2015,Lombardia
70,MantuaOpen2009,Lombardia
71,MantuaOpen2010,Lombardia
72,MantuaSpring2011,Lombardia
73,MantuaSummer2017,Lombardia
74,MantuaTinyOpen2016,Lombardia
75,MantuaWinter2011,Lombardia
76,MantuaWinter2018,Lombardia
77,MantuaWinter2019,Lombardia
78,MediolanumOpen2010,Lombardia
79,MilanBLDDay2010,Lombardia
80,MilanBlindDay2011,Lombardia
81,MilanBlindDay2012,Lombardia
82,MilanBlindDay2013,Lombardia
83,MilanCubeDay2010,Lombardia
84,MilanCubeDay2017,Lombardia
85,MilanCubeDays2015,Lombardia
86,MilanCubeOpen2011,Lombardia
87,MilanCubeOpen2012,Lombardia
88,MilanSaturday2018,Lombardia
89,MilanSlamOpen2016,Lombardia
90,MilanSummerOpen2016,Lombardia
91,MilanWinterOpen2013,Lombardia
92,MilanWinterOpen2014,Lombardia
93,MilanWinterOpen2015,Lombardia
94,MonterotondoOpen2015,Lazio
95,MonticelloConteOtto2013,Veneto
96,MonticelloConteOtto2014,Veneto
97,MonticelloOpen2015,Veneto
98,MonzaEuroWarmup2018,Lombardia
99,MuggioMinxOpen2022,Lombardia
100,NoParityOpen2014,Lombardia
101,ObeiObeiOpen2009,Lombardia
102,OneLookinginCavarzere2022,Veneto
103,PaladiamanteOpen2022,Liguria
104,PesaroOpen2022,Marche
105,PlatformOpen2014,Puglia
106,PoliMiItalianOpen2014,Lombardia
107,PoliMiMentalBreakdown2019,Lombardia
108,PoliMiMentalBreakdown2022,Lombardia
109,PoliMiMentalBreakdownMini2022,Lombardia
110,PoliMiOp3n2018,Lombardia
111,PoliMiOpen2015,Lombardia
112,PoliMiOpen2016,Lombardia
113,RespighiOpen2014,Emilia-Romagna
114,RoMinxOpen2016,Lazio
115,RoadtoICBologna2019,Emilia-Romagna
116,RoadtoICMilano2019,Lombardia
117,RoadtoICMontecatini2019,Toscana
118,RoadtoICMonterotondo2019,Lazio
119,Roma3AlCubo2018,Lazio
120,RomaOpen2010,Lazio
121,RomaOpen2011,Lazio
122,RomaWinterOpen2011,Lazio
123,RomagnaOpen2019,Lazio
124,RomagnaOpen2022,Emilia-Romagna
125,RomeMentalBreakdown2022,Lazio
126,RomeSlamOpen2016,Lazio
127,RomeSummerOpen2016,Lazio
128,RovigoOpen2018,Veneto
129,SPQROpen2022,Lazio
130,SalentoCubingOpen2020,Puglia
131,SalernoWinterOpen2013,Campania
132,SarzanaSeasideCubing2022,Liguria
133,SchioOpen2012,Veneto
134,SicilyOpen2018,Sicilia
135,SinuessaOpen2012,Campania
136,SmallCubingItaly2014,Lazio
137,SmallCubingItaly2015,Lazio
138,SmallCubingitaly2016,Lazio
139,SouthItalianOpen2009,Puglia
140,TiburtinaeOpen2012,Lazio
141,TopkekOpen2015,Lombardia
142,TrentinOpen2011,Trentino-Alto Adige
143,TrentinOpen2022,Trentino-Alto Adige
144,TriesteOpen2013,Friuli-Venezia Giulia
145,TurinCubeDay2017,Piemonte
146,TurinWinterOpen2019,Piemonte
147,TuscanyOpen2017,Toscana
148,TuscanyOpen2018,Toscana
149,VenetoOpen2011,Veneto
150,VeronaOpen2017,Veneto
