name,maxstreak,startcomp,endcomp,days
Simone Cantarelli,43,SchioOpen2012,MilanSaturday2018,2204
Matteo Dummar,43,SunmarkeDubaiOpenII2017,ongoing,1709
Marco Rota,38,ObeiObeiOpen2009,MantuaTinyOpen2016,2252
Mariano D'Imperio,33,FrenchOpen2009,RomeSlamOpen2016,2556
Marco Belotti,31,HalloweenOpen2010,ongoing,4256
Luca Brasini,31,FioranoOpen2017,ongoing,1925
Claudio Bentivoglio,29,LegnanoOpen2014,ongoing,2955
Carolina Guidetti,29,AlmostRomeOpen2017,OneLookinginCavarzere2022,1840
Mattia Furlan,28,LjubljanaOpen2013,ongoing,3193
Vittorio Maria Perucatti,27,MonterotondoOpen2015,PaladiamanteOpen2022,2289
Marco Minici,26,TrentinOpen2011,ongoing,3879
Vincenzo Maria Gammino,24,SmallCubingitaly2016,BolognaNewYear2022,2086
Fabrizio Cirnigliaro,23,ItalianOpen2008,WC2011,1210
Riccardo Simone,22,ItalianOpen2008,LegnanoOpen2012,1408
Michael Volpe Mayerle,22,HalloweenOpen2010,MilanBlindDay2013,1042
Alessandro Nicolì,22,BeneventumOpen2012,PoliMiOp3n2018,2127
Roberto Bentivoglio,21,MonticelloConteOtto2014,ongoing,3011
Matteo Colombo,21,ObeiObeiOpen2009,MonticelloConteOtto2014,1573
Lorenzo Vigani Poli,21,ItalianOpen2007,HalloweenOpen2010,1254
Pietro Gasparetto,21,MilanSummerOpen2016,RoadtoICMonterotondo2019,1133
Stefano Bevacqua,20,MantuaOpen2009,LegnanoOpen2013,1505
Anna Battistini,20,TheMostSerene2016,RoadtoICMonterotondo2019,1106
Gianluca Placenti,20,ItalianChampionship2012,RomeSummerOpen2016,1324
Giovanni Contardi,19,MantuaOpen2009,SwedishCubeDays2013,1526
Paolo Moriello,19,MantuaOpen2009,WC2011,755
Nicola Barbaro,19,RomaWinterOpen2011,ongoing,3850
Simone Santarsiero,19,ItalianOpen2009,MilanWinterOpen2013,1428
Matteo Provasi,19,ObeiObeiOpen2009,MilanBlindDay2012,1034
Ciro Vignotto,19,PoliMiItalianOpen2014,ongoing,2752
Paolo Mazzei,19,MilanBLDDay2010,MonticelloConteOtto2013,1091
Riccardo Fasan,18,FioranoOpen2017,ongoing,1925
Marco Manno,18,ItalianChampionship2015,ongoing,2493
Marco Edoardo Cittar,18,PoliMiOpen2015,ongoing,2584
Lorenzo Gentili,17,AlmostRomeOpen2017,ongoing,1918
Tommaso Zoffoli,17,ItalianOpen2008,Euro2012,1574
Federico Rinalduzzi,17,MonterotondoOpen2015,FMC2019,1337
Filippo Brancaleoni,17,RomaOpen2010,MilanBlindDay2011,483
Francesco Iezzi,16,RomeSlamOpen2016,BolognaSummerOpen2021,1966
Claudio Moriello,16,MantuaOpen2009,ongoing,4663
Davide Arnesano,16,ItalianChampionship2018,ongoing,1332
Edoardo Disarò,16,BigCubingItaly2013,FMCEurope2016,889
Giulia Accorsi,16,MantuaSpring2011,LegnanoOpen2013,966
Lorenzo Pillon,15,VeronaOpen2017,ongoing,1736
Giovanni Tessari,15,MantuaOpen2009,MantuaWinter2011,819
Valerio Locatelli,15,RovigoOpen2018,SPQROpen2022,1553
