cityName;province;regionName
Povo, Trento;TN;Trentino-Alto Adige
Francavilla al Mare;CH;Abruzzo
Varese;VA;Lombardia
Foligno;PG;Umbria
Nepi;VT;Lazio
Cles, Trento;TN;Trentino-Alto Adige
Anzio;RM;Lazio
Roma;RM;Lazio
Brindisi;BR;Puglia
Bagnolo in Piano;RE;Emilia-Romagna
Benevento;BN;Campania
Milan;MI;Lombardia
Castenaso, Bologna;BO;Emilia-Romagna
Mantova;MN;Lombardia
Biella;BI;Piemonte
Lamezia Terme;CZ;Calabria
Campiglia dei Berici, Vicenza;VI;Veneto
Malegno;BS;Lombardia
Capodrise, Caserta;CE;Campania
Carpi;MO;Emilia-Romagna
Casorezzo, Milan;MI;Lombardia
Cavarzere, Venezia;VE;Veneto
Cavarzere;VE;Veneto
Cles;TN;Trentino-Alto Adige
Crevalcore;BO;Emilia-Romagna
Crevalcore, Bologna;BO;Emilia-Romagna
Cenate Sotto, Bergamo;BG;Lombardia
Buccinasco (Milan);MI;Lombardia
Viganò, Lecco;LC;Lombardia
Venzone, Udine;UD;Friuli-Venezia Giulia
Desio (MB);MB;Lombardia
Dosson di Casier, Treviso;TV;Veneto
Dueville (Vicenza);VI;Veneto
Monterotondo, Rome;RM;Lazio
Monterotondo, Roma;RM;Lazio
Monterotondo;RM;Lazio
Misterbianco, Catania;CT;Sicilia
Catania;CT;Sicilia
Feltre;BL;Veneto
Feltre, Belluno;BL;Veneto
Fiorano Modenese;MO;Emilia-Romagna
Firenze;FI;Toscana
Florence;FI;Toscana
Verona;VR;Veneto
Forlì, Forlì-Cesena;FC;Emilia-Romagna
Gallarate;VA;Lombardia
Gessate;MI;Lombardia
Aosta;AO;Valle d'Aosta
Illasi, Verona;VR;Veneto
Rome;RM;Lazio
Milano;MI;Lombardia
Monterotondo (Roma);RM;Lazio
Foggia;FG;Puglia
Bergamo;BG;Lombardia
Rovigo;RO;Veneto
Catanzaro Lido;CZ;Calabria
Treviglio, Bergamo;BG;Lombardia
Guidonia Montecelio, Roma;RM;Lazio
Monza;MB;Lombardia
Cerea;VR;Veneto
Sarzana, La Spezia;SP;Liguria
Ivrea;TO;Piemonte
Latina;LT;Lazio
Legnano;MI;Lombardia
Lodi;LO;Lombardia
Rodi Garganico;FG;Puglia
Case Nuove, Varese;VA;Lombardia
Manduria, Taranto;TA;Puglia
Montemurlo, Prato;PO;Toscana
Monticello Conte Otto (Vicenza);VI;Veneto
Muggiò, Monza e Brianza;MB;Lombardia
Muggiò;MB;Lombardia
Acerra, Napoli;NA;Campania
Belluno;BL;Veneto
Ispra (VA);VA;Lombardia
Corsico;MI;Lombardia
Genova;GE;Liguria
San Sebastiano Al Vesuvio, Napoli;NA;Campania
Paternò, Catania;CT;Sicilia
Pesaro;PU;Marche
Lucera;FG;Puglia
San Gregorio di Catania;CT;Sicilia
Piacenza;PC;Emilia-Romagna
Montecatini Terme;PT;Toscana
Forlì;FC;Emilia-Romagna
Rovereto;TN;Trentino-Alto Adige
Rovereto, Trento;TN;Trentino-Alto Adige
Lecce;LE;Puglia
San Vito dei Normanni;BR;Puglia
San Vito dei Normanni ;BR;Puglia
Salerno;SA;Campania
San Daniele del Friuli, Udine;UD;Friuli-Venezia Giulia
Cagliari;CA;Sardegna
Schio;VI;Veneto
Palermo;PA;Sicilia
San Giuseppe Jato, Palermo;PA;Sicilia
Santa Maria La Stella, Aci Sant'Antonio, Catania;CT;Sicilia
Sessa Aurunca;CE;Campania
San Severo (Foggia);FG;Puglia
Laives, Bolzano;BZ;Trentino-Alto Adige
Villazzano, Trento;TN;Trentino-Alto Adige
Trieste;TS;Friuli-Venezia Giulia
Turin;TO;Piemonte
Saint Vincent, Aosta;AO;Valle d'Aosta
Borgo Valsugana;TN;Trentino-Alto Adige
Borgo Valsugana, Trento;TN;Trentino-Alto Adige
Vedelago;TV;Veneto
Vigevano, Pavia;PV;Lombardia
